,Batch,Input_Feature,Length,Hidden_Feature,Layer,Bidirectional,Device,Time,Mult-Adds,Params
165,1,256,16,64,2,False,cuda,0.00021345376968383788,1851392,115712
166,1,256,16,64,4,True,cuda,0.0003970789909362793,7405568,462848
167,1,256,16,64,4,False,cuda,0.00028699636459350586,2916352,182272
168,1,256,16,256,2,True,cuda,0.0008226513862609863,42074112,2629632
169,1,256,16,256,2,False,cuda,0.00053969144821167,16842752,1052672
170,1,256,16,256,4,True,cuda,0.001457855701446533,92536832,5783552
171,1,256,16,256,4,False,cuda,0.0009136390686035156,33685504,2105344
172,1,256,16,1024,2,True,cuda,0.005143177509307861,570949632,35684352
173,1,256,16,1024,2,False,cuda,0.0027973222732543945,218365952,13647872
174,1,256,16,1024,4,True,cuda,0.010629136562347413,1376780288,86048768
175,1,256,16,1024,4,False,cuda,0.005504119396209717,487063552,30441472
176,1,256,64,16,2,True,cuda,0.0004455375671386719,2654208,41472
177,1,256,64,16,2,False,cuda,0.00028807640075683593,1261568,19712
178,1,256,64,16,4,True,cuda,0.0005454945564270019,3473408,54272
179,1,256,64,16,4,False,cuda,0.0003733682632446289,1540096,24064
180,1,256,64,64,2,True,cuda,0.00046480894088745116,16908288,264192
181,1,256,64,64,2,False,cuda,0.00034110069274902345,7405568,115712
182,1,256,64,64,4,True,cuda,0.0007126212120056152,29622272,462848
183,1,256,64,64,4,False,cuda,0.0004605913162231445,11665408,182272
184,1,256,64,256,2,True,cuda,0.0023786425590515137,168296448,2629632
185,1,256,64,256,2,False,cuda,0.0014048361778259278,67371008,1052672
186,1,256,64,256,4,True,cuda,0.004322347640991211,370147328,5783552
187,1,256,64,256,4,False,cuda,0.0026422238349914553,134742016,2105344
188,1,256,64,1024,2,True,cuda,0.01885286808013916,2283798528,35684352
189,1,256,64,1024,2,False,cuda,0.009995591640472413,873463808,13647872
190,1,256,64,1024,4,True,cuda,0.039166362285614015,5507121152,86048768
191,1,256,64,1024,4,False,cuda,0.019954874515533447,1948254208,30441472
192,1,256,256,16,2,True,cuda,0.0010677027702331544,10616832,41472
193,1,256,256,16,2,False,cuda,0.0007483530044555664,5046272,19712
194,1,256,256,16,4,True,cuda,0.0015340161323547364,13893632,54272
195,1,256,256,16,4,False,cuda,0.0009873509407043457,6160384,24064
196,1,256,256,64,2,True,cuda,0.0011020135879516602,67633152,264192
197,1,256,256,64,2,False,cuda,0.0007418036460876465,29622272,115712
198,1,256,256,64,4,True,cuda,0.0018210244178771973,118489088,462848
199,1,256,256,64,4,False,cuda,0.0010856032371520997,46661632,182272
200,1,256,256,256,2,True,cuda,0.007899043560028076,673185792,2629632
201,1,256,256,256,2,False,cuda,0.004610435962677002,269484032,1052672
202,1,256,256,256,4,True,cuda,0.015448479652404786,1480589312,5783552
203,1,256,256,256,4,False,cuda,0.008955600261688233,538968064,2105344
204,1,256,256,1024,2,True,cuda,0.07419346332550049,9135194112,35684352
205,1,256,256,1024,2,False,cuda,0.03730867624282837,3493855232,13647872
206,1,256,256,1024,4,True,cuda,0.15107351541519165,22028484608,86048768
207,1,256,256,1024,4,False,cuda,0.07292207479476928,7793016832,30441472
208,1,256,1024,16,2,True,cuda,0.003929030895233154,42467328,41472
209,1,256,1024,16,2,False,cuda,0.0025796771049499513,20185088,19712
210,1,256,1024,16,4,True,cuda,0.005816056728363037,55574528,54272
211,1,256,1024,16,4,False,cuda,0.0029874134063720705,24641536,24064
212,1,256,1024,64,2,True,cuda,0.003494277000427246,270532608,264192
213,1,256,1024,64,2,False,cuda,0.002152996063232422,118489088,115712
214,1,256,1024,64,4,True,cuda,0.006077308654785157,473956352,462848
215,1,256,1024,64,4,False,cuda,0.00341428279876709,186646528,182272
216,1,256,1024,256,2,True,cuda,0.02923952341079712,2692743168,2629632
217,1,256,1024,256,2,False,cuda,0.016988701820373535,1077936128,1052672
218,1,256,1024,256,4,True,cuda,0.06916611194610596,5922357248,5783552
219,1,256,1024,256,4,False,cuda,0.03262314796447754,2155872256,2105344
220,1,256,1024,1024,2,True,cuda,0.292705659866333,36540776448,35684352
221,1,256,1024,1024,2,False,cuda,0.1492373204231262,13975420928,13647872
222,1,256,1024,1024,4,True,cuda,0.5911855626106263,88113938432,86048768
223,1,256,1024,1024,4,False,cuda,0.28643098592758176,31172067328,30441472
224,1,256,2048,16,2,True,cuda,0.006404650211334228,84934656,41472
225,1,256,2048,16,2,False,cuda,0.003815939426422119,40370176,19712
226,1,256,2048,16,4,True,cuda,0.010551378726959229,111149056,54272
227,1,256,2048,16,4,False,cuda,0.005849249362945556,49283072,24064
228,1,256,2048,64,2,True,cuda,0.0069432854652404785,541065216,264192
229,1,256,2048,64,2,False,cuda,0.004050822257995606,236978176,115712
230,1,256,2048,64,4,True,cuda,0.011762638092041016,947912704,462848
231,1,256,2048,64,4,False,cuda,0.006507000923156738,373293056,182272
232,1,256,2048,256,2,True,cuda,0.06880922317504883,5385486336,2629632
233,1,256,2048,256,2,False,cuda,0.03280184507369995,2155872256,1052672
234,1,256,2048,256,4,True,cuda,0.13603682041168214,11844714496,5783552
235,1,256,2048,256,4,False,cuda,0.076712486743927,4311744512,2105344
236,1,256,2048,1024,2,True,cuda,0.582402093410492,73081552896,35684352
237,1,256,2048,1024,2,False,cuda,0.2982336664199829,27950841856,13647872
238,1,256,2048,1024,4,True,cuda,1.1749283599853515,176227876864,86048768
239,1,256,2048,1024,4,False,cuda,0.5700060963630676,62344134656,30441472
240,1,1024,16,16,2,True,cuda,0.00025986433029174806,2236416,139776
241,1,1024,16,16,2,False,cuda,0.00019984006881713868,1101824,68864
242,1,1024,16,16,4,True,cuda,0.0002830839157104492,2441216,152576
243,1,1024,16,16,4,False,cuda,0.0002017974853515625,1171456,73216
244,1,1024,16,64,2,True,cuda,0.0003331494331359863,10518528,657408
245,1,1024,16,64,2,False,cuda,0.000239260196685791,4997120,312320
246,1,1024,16,64,4,True,cuda,0.00045315742492675783,13697024,856064
247,1,1024,16,64,4,False,cuda,0.00032591819763183594,6062080,378880
248,1,1024,16,256,2,True,cuda,0.0007766127586364746,67239936,4202496
249,1,1024,16,256,2,False,cuda,0.0005542516708374023,29425664,1839104
250,1,1024,16,256,4,True,cuda,0.0014249658584594726,117702656,7356416
251,1,1024,16,256,4,False,cuda,0.0008737874031066894,46268416,2891776
252,1,1024,16,1024,2,True,cuda,0.005426552295684815,671612928,41975808
253,1,1024,16,1024,2,False,cuda,0.003071587085723877,268697600,16793600
254,1,1024,16,1024,4,True,cuda,0.010924210548400879,1477443584,92340224
255,1,1024,16,1024,4,False,cuda,0.0057388687133789066,537395200,33587200
256,1,1024,64,16,2,True,cuda,0.0005486130714416504,8945664,139776
257,1,1024,64,16,2,False,cuda,0.00039420127868652346,4407296,68864
258,1,1024,64,16,4,True,cuda,0.0006880974769592286,9764864,152576
259,1,1024,64,16,4,False,cuda,0.0004620242118835449,4685824,73216
260,1,1024,64,64,2,True,cuda,0.0006094026565551758,42074112,657408
261,1,1024,64,64,2,False,cuda,0.00041604042053222656,19988480,312320
262,1,1024,64,64,4,True,cuda,0.0009260368347167969,54788096,856064
263,1,1024,64,64,4,False,cuda,0.0005217695236206055,24248320,378880
264,1,1024,64,256,2,True,cuda,0.003269529342651367,268959744,4202496
265,1,1024,64,256,2,False,cuda,0.0019945549964904786,117702656,1839104
266,1,1024,64,256,4,True,cuda,0.004865086078643799,470810624,7356416
267,1,1024,64,256,4,False,cuda,0.0029352521896362305,185073664,2891776
268,1,1024,64,1024,2,True,cuda,0.019116182327270508,2686451712,41975808
269,1,1024,64,1024,2,False,cuda,0.010452463626861572,1074790400,16793600
270,1,1024,64,1024,4,True,cuda,0.03918313264846802,5909774336,92340224
271,1,1024,64,1024,4,False,cuda,0.020294222831726074,2149580800,33587200
272,1,1024,256,16,2,True,cuda,0.0010558676719665528,35782656,139776
273,1,1024,256,16,2,False,cuda,0.0006741189956665039,17629184,68864
274,1,1024,256,16,4,True,cuda,0.001734325885772705,39059456,152576
275,1,1024,256,16,4,False,cuda,0.0011346650123596192,18743296,73216
276,1,1024,256,64,2,True,cuda,0.0013822770118713378,168296448,657408
277,1,1024,256,64,2,False,cuda,0.000996999740600586,79953920,312320
